Brunnen;Brun·nen <-s, -> [ˈbrʊnən] SUBST m;1
Buch;Buch <-[e]s, Bücher> [bu:x, Pl ˈby:çɐ] SUBST nt;1
Bücherei;Bü·che·rei <-, -en> [by:çəˈrai] SUBST f;3
Buchstabe;Buch·sta·be <-n, -n> [ˈbu:xʃta:bə] SUBST m;1
Buchstabe;Buch·sta·be <-ns, -n> [ˈbu:xʃta:bə] SUBST m;1
Bühne;Büh·ne <-, -n> [ˈby:nə] SUBST f;1
Bulle;Bul·le1 <-n, -n> [ˈbʊlə] SUBST m;1
Bund;Bund1 <-[e]s, Bünde> [bʊnt, Pl ˈbʏndə] SUBST m;1
Bündnis;Bünd·nis <-es, -se> [ˈbʏntnɪs] SUBST nt;1
Burg;Burg <-, -en> [bʊrk] SUBST f;1
Bürger;Bür·ger(in) <-s, -> [ˈbʏrgɐ] SUBST m(f);1
Büro;Bü·ro <-s, -s> [byˈro:] SUBST nt;2
Bus;Bus <-es, -se> [bʊs, Pl ˈbʊsə] SUBST m;1
Chance;Chan·ce <-, -n> [ˈʃã:sə] SUBST f;1
Charakter;Cha·rak·ter <-s, -e> [kaˈraktɐ] SUBST m;2
Chat;Chat <-s, -s> [tʃɛt] SUBST m INET;1
Chef;Chef(in) <-s, -s> [ʃɛf] SUBST m(f);1
Clown;Clown(in) <-s, -s> [klaun] SUBST m(f);1
Club;Club <-s, -s> [klʊp] SUBST m;1
Cocktail;Cock·tail <-s, -s> [ˈkɔkte:l] SUBST m;1
Computer;Com·pu·ter <-s, -> [kɔmˈpju:tɐ] SUBST m;2
Container;Con·tai·ner <-s, -> [kɔnˈte:nɐ] SUBST m;2
Crash;Crash <-s, -s> [kræʃ] SUBST m ugs;1
Dach;Dach <-[e]s, Dächer> [dax, Pl ˈdɛçɐ] SUBST nt;1
Datei;Da·tei <-, -en> [daˈtai] SUBST f COMPUT;2
Debatte;De·bat·te <-, -n> [deˈbatə] SUBST f;2
Decke;De·cke <-, -n> [ˈdɛkə] SUBST f;1
Dekoration;De·ko·ra·tion <-, -en> [dekoraˈtsi̯o:n] SUBST f;4
Delphin;Del·phin1 <-s, -e> [dɛlˈfi:n] SUBST m;2
Demokratie;De·mo·kra·tie <-, -n> [demokraˈti:, Pl demokraˈti:ən] SUBST f;4
Demonstrant;De·mons·trant(in) <-en, -en> [demɔnˈstrant] SUBST m(f);3
Denkmal;Denk·mal <-s, Denkmäler> [ˈdɛŋkma:l, Pl ˈdɛŋkmɛ:lɐ] SUBST nt;1
Denkmal;Denk·mal <-s, -e> [ˈdɛŋkma:l, Pl ˈdɛŋkmɛ:lɐ] SUBST nt;1
Depression;De·pres·si·on <-, -en> [deprɛˈsi̯o:n] SUBST f;4
Designer;De·si·gner(in) <-s, -> [diˈzainɐ] SUBST m(f);2
Detail;De·tail <-s, -s> [deˈtai, deˈta:j] SUBST nt;2
Detektiv;De·tek·tiv(in) <-s, -e> [detɛkˈti:f, Pl detɛkˈti:və] SUBST m(f);3
Diagramm;Di·a·gramm <-s, -e> [diaˈgram] SUBST nt;2
Dialog;Di·a·log <-[e]s, -e> [diaˈlo:k, Pl diaˈlo:gə] SUBST m geh;3
Diamant;Di·a·mant1 <-en, -en> [diaˈmant] SUBST m miner;3
Diät;Di·ät <-, -en> [diˈɛ:t] SUBST f;2
Dichter;Dich·ter(in) <-s, -> [ˈdɪçtɐ] SUBST m(f);1
Dieb;Dieb(in) <-[e]s, -e> [di:p, Pl ˈdi:bə] SUBST m(f);1
Dienst;Dienst <-[e]s, -e> [di:nst] SUBST m;1
Differenz;Dif·fe·renz <-, -en> [dɪfəˈrɛnts] SUBST f;3
Diktator;Dik·ta·tor <-s, -en> [dɪkˈta:to:ɐ̯] SUBST m;2
Dilemma;Di·lem·ma <-s, -s> [diˈlɛma, Pl diˈlɛmata] SUBST nt geh;2
Ding;Ding <-[e]s, -e> [dɪŋ] SUBST nt;1
Ding;Ding <-[e]s, -er> [dɪŋ] SUBST nt;1
Direktor;Di·rek·tor <-s, -en> [diˈrɛkto:ɐ̯] SUBST m;2
Diskussion;Dis·ku·ssion <-, -en> [dɪskʊˈsi̯o:n] SUBST f;3
Distanz;Dis·tanz <-, -en> [dɪsˈtants] SUBST f;2
Diva;Di·va <-, -s> [ˈdi:va, Pl ˈdi:vən] SUBST f;1
Doktor;Dok·tor <-s, -en> [ˈdɔkto:ɐ̯] SUBST m;1
Dokumentation;Do·ku·men·ta·tion <-, -en> [dokumɛntaˈtsi̯o:n] SUBST f;5
Dolmetscher;Dol·met·scher(in) <-s, -> [ˈdɔlmɛtʃɐ] SUBST m(f);1
Dom;Dom <-[e]s, -e> [do:m] SUBST m;1
Donner;Don·ner <-s, -> [ˈdɔnɐ] SUBST m Pl selten;1
Dorf;Dorf <-[e]s, Dörfer> [dɔrf, Pl ˈdœrfɐ] SUBST nt;1
Dose;Do·se <-, -n> [ˈdo:zə] SUBST f;1
Drache;Dra·che <-n, -n> [ˈdraxə] SUBST m (Fabeltier);1
Draht;Draht <-[e]s, Drähte> [dra:t, Pl ˈdrɛ:tə] SUBST m;1
Drang;Drang <-[e]s, Dränge> [draŋ, Pl ˈdrɛŋə] SUBST m;1
Drittel;Drit·tel <-s, -> [ˈdrɪtl̩] SUBST nt;1
Drittel;Drit·tel <-s, -> [ˈdrɪtl̩] SUBST m;1
Druck;Druck1 <-[e]s, Drücke> [drʊk, Pl ˈdrʏkə] SUBST m;1
Druck;Druck2 <-[e]s, -e> [drʊk] SUBST m;1
Dschungel;Dschun·gel <-s, -> [ˈʤʊŋl̩] SUBST m;1
Dusche;Du·sche <-, -n> [ˈdu:ʃə] SUBST f;1
Dutzend;Dut·zend <-s, -e> [ˈdʊtsn̩t, Pl ˈdʊtsn̩də] SUBST nt;1
Ebene;E·be·ne <-, -n> [e:bənə] SUBST f;1
Ecke;Ecke <-, -n> [ˈɛkə] SUBST f;1
Effekt;Ef·fekt <-[e]s, -e> [ɛˈfɛkt] SUBST m;2
Ego;E·go <-s, -s> [ˈe:go] SUBST nt abw;1
Ehe;E·he <-, -n> [ˈe:ə] SUBST f;1
Ehre;Eh·re <-, -n> [ˈe:rə] SUBST f;1
Ei;Ei <-[e]s, -er> [ai] SUBST nt;1
Einnahme;Ein·nah·me <-, -n> [ˈainna:mə] SUBST f;1
Einstieg;Ein·stieg <-[e]s, -e> [ˈainʃti:k, Pl ˈainʃti:gə] SUBST m;1
Einwand;Ein·wand <-[e]s, Einwände> [ˈainvant, Pl ˈainvɛndə] SUBST m;1
Einwohner;Ein·woh·ner(in) <-s, -> [ˈainvo:nɐ] SUBST m(f);1
Elch;Elch <-[e]s, -e> [ɛlç] SUBST m;1
Elefant;E·le·fant <-en, -en> [eleˈfant] SUBST m;3
Element;E·le·ment <-[e]s, -e> [eleˈmɛnt] SUBST nt;2
Elf;Elf <-en, -en> [ɛlf] SUBST m;1
Elfe;El·fe <-, -n> [ˈelfə] SUBST f;1
Ellbogen;Ell·bo·gen <-s, -> [ˈɛlbo:gn̩] SUBST m;1
Emotion;E·mo·tion <-, -en> [emoˈtsi̯o:n] SUBST f;3
Ende;En·de <-s, -n> [ˈɛndə] SUBST nt;1
Energie;E·ner·gie <-, -n> [enɛrˈgi:, Pl -ˈgi:ən] SUBST f;3
Engagement;En·ga·gement <-s, -s> [ãgaʒəˈmã:] SUBST nt;3
Engel;En·gel <-s, -> [ˈɛŋl̩] SUBST m;1
Enkel;En·kel1(in) <-s, -> [ˈɛŋkl̩] SUBST m(f);1
Ente;En·te <-, -n> [ˈɛntə] SUBST f;1
Erde;Er·de <-, -n> [ˈe:ɐ̯də] SUBST f;1
Ernte;Ern·te <-, -n> [ˈɛrntə] SUBST f LANDW, GARTENB;1
Essen;Es·sen <-s, -> [ˈɛsn̩] SUBST nt;1
Essenz;Es·senz <-, -en> [ɛˈsɛnts] SUBST f GASTRO, CHEM;2
Etage;E·ta·ge <-, -n> [eˈta:ʒə] SUBST f;2
Eule;Eu·le <-, -n> [ˈɔylə] SUBST f;1
Euro;Eu·ro <-, -s> [ˈɔyro] SUBST m;1
Euro;Eu·ro <-, -> [ˈɔyro] SUBST m;1
Exemplar;Ex·em·plar <-s, -e> [ɛksɛmˈpla:ɐ̯] SUBST nt;3
Existenz;E·xis·tenz <-, -en> [ɛksɪsˈtɛnts] SUBST f;2
Experiment;Ex·pe·ri·ment <-[e]s, -e> [ɛksperiˈmɛnt] SUBST nt;4
Export;Ex·port <-[e]s, -e> [ɛksˈpɔrt] SUBST m;2
Fabrik;Fa·brik <-, -en> [faˈbri:k] SUBST f;2
Fach;Fach <-[e]s, Fächer> [fax, Pl fɛçɐ] SUBST nt;1
Fackel;Fa·ckel <-, -n> [ˈfakl̩] SUBST f;1
Fahne;Fah·ne <-, -n> [ˈfa:nə] SUBST f;1
Fahrer;Fah·rer(in) <-s, -> [ˈfa:rɐ] SUBST m(f);1
Fahrt;Fahrt <-, -en> [fa:ɐ̯t] SUBST f;1
Fahrzeug;Fahr·zeug <-s, -e> [ˈfaːɐ̯tsɔɪ̯k] SUBST nt;1
